Cancer,MSE_diff,RMSE_diff,Pearson_diff,Spearman_diff,CIndex_diff
ACC,0.7501544690133491,0.3932364316435081,-0.0793309489535452,-0.13328855052993005,-0.08898508898508894
ALL,0.5423571111648369,0.26349795922879726,-0.03542579270060653,-0.019982978558236275,-0.011539148224994578
BLCA,-0.07804073616934093,-0.04058042343539803,-0.005753396834188185,-0.022592817617069327,-0.017080898221826457
BRCA,0.13543493777952742,0.055870736312100044,-0.048803957010372434,-0.09114695704817743,-0.05330391331539386
CESC,-0.47953163395322307,-0.23908471860660652,-0.0038275689878739527,-0.006707206915745556,-0.008984656685813497
CLL,0.06557843815185438,0.03997878120511089,0.0159109885173494,0.04278499278499304,0.007936507936507908
COREAD,0.044450752787314585,0.019232922156144694,-0.03221259495571527,-0.03156347231386536,-0.022618378269478767
DLBC,0.14764413819576383,0.06942124454742449,-0.016532846826656677,-0.04035860054818263,-0.023875238857615
ESCA,0.13643356621117086,0.06511175431856309,-0.010280775201193526,-0.022552129203424864,-0.016022785030680442
GBM,-0.3550015564725114,-0.17443377093273038,-0.02007760229522859,-0.02827170073400609,-0.02319841399582845
HNSC,0.26018344964519113,0.1255333865010918,-0.044946640291790074,-0.04615464040132711,-0.038821144702048116
KIRC,-0.012247228451965908,-0.0058816026661479,-0.006728820710249717,-0.01567278801618377,-0.013959754963513538
LAML,0.234203453295744,0.1033499582923254,-0.016023309340116088,-0.04505865067904491,-0.03360444390186024
LCML,0.27829727923928227,0.16385652643447934,-0.020498958184556826,-0.029089590602475845,-0.030178812415654455
LGG,0.10332640929687642,0.05569508454077299,-0.006239613961378954,-0.030350634949767974,-0.022969800068279866
LIHC,0.12104618225441621,0.059186119393696335,-0.027924820292130614,-0.041568235807322496,-0.02404386412261572
LUAD,0.21740731519827583,0.09802997013120462,-0.031242751885151354,-0.07391846419085113,-0.04201755343700064
LUSC,-0.19859241764158608,-0.09134145219912693,0.001616424749184553,-0.014321223676261763,-0.011592470637844077
MB,0.2935443065901714,0.16369785703916684,-0.03194040333150927,-0.0665109570925867,-0.06315289841805838
MESO,-0.23669590779712424,-0.10880597087629873,-0.0017746180859135041,-0.019028638030651357,-0.01359612458431414
MM,-0.5449340197724855,-0.2199672948816458,0.024775950244996015,0.012882244571010615,-4.3339136143405455e-05
NB,-0.036627447801391266,-0.017256606017346243,-0.010414854580264254,-0.03145192109827433,-0.023409200539861064
OV,-0.25728189861635453,-0.11261050694034935,-0.010115401691372483,-0.013871048245914674,-0.013273803282453867
PAAD,-0.009398011231673942,-0.004733648693677761,-0.00808626196231721,-0.02781342229398598,-0.01810885696832487
PRAD,0.3774052812539901,0.19189320562703238,-0.060408509808115296,-0.050035476420641545,-0.04449367865932763
SCLC,0.4126635039280909,0.19863494297662376,-0.0510268018401312,-0.060902476791545146,-0.04334835952694516
SKCM,0.24617783380661917,0.11567961035071161,-0.03392336248011918,-0.053787995462869276,-0.03369930861568693
STAD,0.14194023285002033,0.05945782108474962,-0.009265405697960971,0.0019180359489768817,0.0022607885345780065
THCA,-0.21847062197405065,-0.10006493831431995,-0.01170750239580487,-0.040423749397165754,-0.02931183528897585
UCEC,-0.08014987624605785,-0.04256773766661115,0.0006183421305413495,-0.035343804316030125,-0.02855579066710323
UNCLASSIFIED,0.12956201364248554,0.06114466584683087,-0.008145333732570426,-0.019884616221107043,-0.017372526775755626
